SEASON_ID,PLAYER_ID,GAME_ID,GAME_DATE,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,TEAM_NAME,PLAYER_NAME,TEAM_ID
22023,203991,22300172,2023-11-09,1,26,2,4,0.5,0,0,0.0,2,4,0.5,2,9,11,4,0,1,0,2,6,12,Atlanta Hawks,Clint Capela,1610612737
22023,203991,22300155,2023-11-06,0,21,2,5,0.4,0,0,0.0,2,4,0.5,6,6,12,0,1,2,1,2,6,-10,Atlanta Hawks,Clint Capela,1610612737
22023,203991,22300135,2023-11-04,1,28,8,9,0.889,0,0,0.0,1,2,0.5,2,5,7,0,0,2,0,2,17,19,Atlanta Hawks,Clint Capela,1610612737
22023,203991,22300117,2023-11-01,1,21,4,6,0.667,0,0,0.0,2,2,1.0,4,7,11,0,1,0,0,0,10,17,Atlanta Hawks,Clint Capela,1610612737
22023,203991,22300104,2023-10-30,1,23,0,3,0.0,0,0,0.0,2,2,1.0,1,4,5,1,0,5,1,3,2,-4,Atlanta Hawks,Clint Capela,1610612737
22023,203991,22300097,2023-10-29,1,23,5,10,0.5,0,0,0.0,2,2,1.0,2,10,12,1,1,0,0,1,12,15,Atlanta Hawks,Clint Capela,1610612737
22023,203991,22300079,2023-10-27,0,28,6,12,0.5,0,0,0.0,1,2,0.5,6,7,13,2,0,1,1,3,13,-9,Atlanta Hawks,Clint Capela,1610612737
22023,203991,22300063,2023-10-25,0,29,6,10,0.6,0,0,0.0,3,4,0.75,6,7,13,0,1,0,2,1,15,-19,Atlanta Hawks,Clint Capela,1610612737
22024,203991,22401202,2024-12-11,1,25,5,8,0.625,0,0,0.0,1,2,0.5,4,9,13,1,0,0,0,2,11,6,Atlanta Hawks,Clint Capela,1610612737
22024,203991,22400350,2024-12-08,0,19,4,7,0.571,0,0,0.0,1,2,0.5,6,4,10,1,0,0,0,5,9,-11,Atlanta Hawks,Clint Capela,1610612737
22024,203991,22400334,2024-12-06,1,24,2,4,0.5,0,0,0.0,0,0,0.0,4,0,4,2,0,2,0,1,4,0,Atlanta Hawks,Clint Capela,1610612737
22024,203991,22400323,2024-12-04,1,24,4,10,0.4,0,0,0.0,0,0,0.0,6,11,17,1,1,1,1,4,8,4,Atlanta Hawks,Clint Capela,1610612737
22024,203991,22400315,2024-12-02,1,29,4,6,0.667,0,0,0.0,1,1,1.0,5,12,17,2,2,1,1,1,9,8,Atlanta Hawks,Clint Capela,1610612737
22024,203991,22400300,2024-11-30,1,20,2,6,0.333,0,0,0.0,0,0,0.0,4,10,14,1,1,2,0,1,4,1,Atlanta Hawks,Clint Capela,1610612737
22024,203991,22400041,2024-11-29,1,25,4,7,0.571,0,0,0.0,0,0,0.0,3,10,13,1,2,3,1,1,8,15,Atlanta Hawks,Clint Capela,1610612737
22024,203991,22400287,2024-11-27,1,19,1,7,0.143,0,0,0.0,0,0,0.0,6,3,9,3,1,0,1,2,2,3,Atlanta Hawks,Clint Capela,1610612737
22024,203991,22400280,2024-11-25,0,22,5,7,0.714,0,0,0.0,2,3,0.667,2,3,5,1,1,2,0,1,12,11,Atlanta Hawks,Clint Capela,1610612737
